subsystem
Propanoate metabolism
"Valine, leucine, and isoleucine metabolism"
Keratan sulfate synthesis
Miscellaneous
Glycolysis/gluconeogenesis
Eicosanoid metabolism
Starch and sucrose metabolism
Pentose phosphate pathway
Vitamin A metabolism
Butanoate metabolism
"Transport, extracellular"
O-glycan synthesis
Methionine and cysteine metabolism
Nucleotide interconversion
Glycerophospholipid metabolism
D-alanine metabolism
Cholesterol metabolism
Fatty acid oxidation
Tryptophan metabolism
Keratan sulfate degradation
Galactose metabolism
Fructose and mannose metabolism
Triacylglycerol synthesis
N-glycan synthesis
Inositol phosphate metabolism
Folate metabolism
NAD metabolism
Purine catabolism
Pyrimidine catabolism
Bile acid synthesis
Phenylalanine metabolism
Vitamin B6 metabolism
Pyrimidine synthesis
Tetrahydrobiopterin metabolism
Phosphatidylinositol phosphate metabolism
Glutathione metabolism
Unassigned
CoA synthesis
"Transport, peroxisomal"
"Transport, nuclear"
"Transport, mitochondrial"
